indicator,category,strategic_use
GDP Growth,Growth,Demand outlook
CPI Inflation,Inflation,Pricing pressure
Core Inflation,Inflation,Underlying inflation
Policy Rate,Rates,Cost of capital
10Y Treasury Yield,Rates,Discount rate
Crude Oil,Commodities,Input costs
USD Index,FX,Currency exposure
Unemployment,Labor,Labor-market strength
Wage Growth,Labor,Cost pressure
Consumer Confidence,Demand,Consumer demand
Manufacturing PMI,Growth,Business cycle
Credit Spreads,Credit,Financing stress
Equity Valuation,Equities,Market expectations
Earnings Growth,Equities,Profitability trend
Industrial Production,Growth,Industrial cycle
Yield Curve Slope,Rates,Recession signal
Fiscal Deficit,Fiscal,Policy capacity
Trade Balance,External,External balance
Natural Gas,Commodities,Energy costs
Corporate Capex,Corporate,Investment cycle
